мракоборец
Опыт: 150
Здоровье: 12
Класс_брони: 8
Ловкость: 10
Сила: 5
Телосложение: 10
Интеллект: 15
Харизма: 8
Мудрость: 10
Состояние: жив

url: None
Навыки:: Экспеллиармус — обезаруживающие закля- тие, откидывает оружие Игрок на 15 футов в любую сторону. Дистанция 10 футов=Левикорпусус — поднимает цель вверх тормашками и по желанию откидывает Игрока на 10 футов в любую сторону и наносит несмертельный урон от падения 1d4 Дистанция 10 футов=Петрификус Тоталус — проклятие паралича, обездвиживает Игрока на один раунд. Дистанция 10 футов=Редукто — взрывное заклятие, наносит 1d6 урона огнем. Дистанция 10 футов=Инкарцеро — выстреливает верёвки, которые тут же связывают жертву. Нужна помощь союзника чтобы выбраться из пут
