ликантроп
Опыт: 250
Здоровье: 20
Класс_брони: 10
Ловкость: 15
Сила: 10
Телосложение: 10
Интеллект: 10
Харизма: 5
Мудрость: 10
Состояние: жив

url: None
Навыки:: Укус: +4 к попаданию, досягаемость 5 футов, одна цель. Попадание: Колющий урон 1d4 + 2. Если цель — гуманоид она должна преуспеть в спасброске Телосложения СЛ 13, иначе станет проклятой ликантропией.=Когти: +4 к попаданию, 5 футов, одна цель. Попадание: Рубящий урон 1к4 + 2.=Редукто — взрывное заклятие, наносит 1d6 урона огнем. Дистанция 10 футов=Круциатус — заклятие невыносимой боли, наносит 1d6 + 2 урона. Дистанция 10 футов=Авада Кедавра — убивающее заклятие. Дистанция 10 футов. Чтобы увернуться от заклятия цель должна пройти спасбросок Ловкости 10, либо персонаж умрет. (Использовать на усмотрение мастера).
